Site,Case,DBH,DSoB,DSuB,BT_base,Log1,Log2,Log3,Log4,Log5,Log6,Log7,LogTotal,Wood1,Wood2,Wood3,Wood4,Wood5,Wood6,Wood7,WoodTotal,Num_of_segs,Length,DBH_class,log_segment,log_weight
FR,T28,7,9,8,1,10.5,7.1,5,3.2,0,0,0,25.8,8.6,5.8,3.6,1.6,0,0,0,19.6,4,975.2,Small,Log4,3.2
FR,T29,14.5,19.5,17.5,2,29.7,21.6,6.4,4.5,0,0,0,62.2,19.9,13.5,7.2,0,0,0,0,40.6,3,731.4,Medium,Log4,4.5
FR,T30,10.5,15,13,2,13.1,8.2,4.3,3.4,0,0,0,29,11.6,5.2,3.2,2,0,0,0,22,4,975.2,Small,Log4,3.4
FR,T31,16.5,18.3,16,2.3,21.7,16.7,4.4,3.9,0,0,0,46.7,14.9,12.1,3.8,2.8,0,0,0,33.6,4,975.2,Large,Log4,3.9
FR,T32,15.5,20.2,18.4,1.8,23.2,18.7,15.2,8.2,5.3,2,0,72.6,19.9,17,12.7,7,4.1,1.6,0,62.3,6,1462.8,Large,Log4,8.2
FR,T33,10,15,13.5,1.5,20.8,15.1,9.9,6.4,2.4,0,0,54.6,16.6,11.6,7.7,5.2,2.2,0,0,43.3,5,1219,Small,Log4,6.4
FR,T34,11,18,16,2,14.2,8.4,3.9,2.3,0,0,0,28.8,12.4,5,2.8,2,0,0,0,22.2,4,975.2,Medium,Log4,2.3
FR,T37,11.4,14.7,13,1.7,11.4,6.6,2.8,0.9,0,0,0,21.7,8.8,4.8,1.9,0.7,0,0,0,16.2,3,731.4,Medium,Log4,0.9
FR,T38,7,8,7.2,0.8,11,7.1,4.9,2.4,0,0,0,25.4,9,6,4.2,1.9,0,0,0,21.1,3,731.4,Small,Log4,2.4
FR,T39,6,12,10,2,14.1,8.6,5.1,1.7,0,0,0,15.4,11.4,6.2,6,0,0,0,0,23.6,4,975.2,Small,Log4,1.7
FR,T40,6,11,10,1,14.2,9.9,6.9,4.6,1.7,1.6,0,38.9,11.1,7.8,5.4,3.3,1.1,1,0,29.7,6,1462.8,Small,Log4,4.6
FR,T41,10,17,15,2,18.8,12,9.5,6.3,3.3,9,0,49.9,14.7,9.2,4,2.5,0.6,0,0,31,5,1219,Small,Log4,6.3
FR,T43,9,10.4,9.3,1.1,14.7,9.3,6.5,4,0,0,0,34.5,11.6,7.4,5.1,2.8,0,0,0,26.9,5,1219,Small,Log4,4
FR,T44,11.5,18,17.2,0.8,27.8,17.1,13.2,10.3,6.7,2.5,0,77.6,21.9,14.4,10.8,8,4.8,1.8,0,61.7,6,1462.8,Medium,Log4,10.3
FR,T45,17,22,20.5,1.5,54.4,35.7,28,20.8,14.5,11,3.6,168,48.9,30.5,21.8,18.4,12.4,7.3,2.5,141.8,7,1706.6,Large,Log4,20.8
CP,T46,9,12.5,11.5,1,19,11,9,6,0,0,0,45,13,10,9,0,0,0,0,32,4,975.2,Small,Log4,6
CP,T48,11,15,14,1,25,18,13,10,5,0,0,71,21,14,10.5,7,4,0,0,56.5,6,1462.8,Medium,Log4,10
